"MEASURE","Data item","REGIONTYPE","Geography Level","LGA_2019","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","22980","Hindmarsh (S)","A","Annual","2016","2016",39591,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","22980","Hindmarsh (S)","A","Annual","2016","2016",28.7,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","23110","Hobsons Bay (C)","A","Annual","2016","2016",82.1,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","23110","Hobsons Bay (C)","A","Annual","2016","2016",29,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","23110","Hobsons Bay (C)","A","Annual","2016","2016",54226,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","23110","Hobsons Bay (C)","A","Annual","2016","2016",56.4,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","23190","Horsham (RC)","A","Annual","2016","2016",92.1,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","23190","Horsham (RC)","A","Annual","2016","2016",3.8,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","23190","Horsham (RC)","A","Annual","2016","2016",42104,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","23190","Horsham (RC)","A","Annual","2016","2016",37,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","23270","Hume (C)","A","Annual","2016","2016",80.8,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","23270","Hume (C)","A","Annual","2016","2016",44.9,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","23270","Hume (C)","A","Annual","2016","2016",46351,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","23270","Hume (C)","A","Annual","2016","2016",50,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","23350","Indigo (S)","A","Annual","2016","2016",90.5,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","23350","Indigo (S)","A","Annual","2016","2016",2.3,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","23350","Indigo (S)","A","Annual","2016","2016",45779,,
